explicit,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_name,Length (ln s)
False,I Contain Multitudes,0.513,0.0816,0.0,-19.555,1.0,0.0782,0.934,0.000132,0.108,0.129,132.491,4.0,Bob Dylan,5.623053142421074
False,False Prophet,0.453,0.441,0.0,-12.408,1.0,0.0556,0.437,1.24e-05,0.147,0.657,78.039,4.0,Bob Dylan,5.8861401419092765
False,My Own Version of You,0.599,0.219,9.0,-19.148,1.0,0.316,0.886,0.000195,0.0891,0.214,170.841,3.0,Bob Dylan,5.994858780175997
False,I've Made Up My Mind to Give Myself to You,0.654,0.154,2.0,-19.006,1.0,0.0378,0.848,0.000116,0.11,0.331,134.909,3.0,Bob Dylan,5.971805059566819
False,Black Rider,0.421,0.115,2.0,-19.775,0.0,0.28,0.9,5.58e-05,0.11,0.0696,80.937,4.0,Bob Dylan,5.532966474368375
False,Goodbye Jimmy Reed,0.741,0.575,4.0,-12.431,0.0,0.0765,0.2,1.52e-06,0.172,0.883,100.004,4.0,Bob Dylan,5.536755359326329
False,Mother of Muses,0.461,0.104,2.0,-20.151,1.0,0.0624,0.887,0.000314,0.108,0.191,143.997,4.0,Bob Dylan,5.595603175142513
False,Crossing the Rubicon,0.733,0.217,0.0,-16.811,1.0,0.0471,0.531,0.000338,0.0869,0.549,68.932,4.0,Bob Dylan,6.093027862517423
False,Key West (Philosopher Pirate),0.434,0.188,9.0,-18.628,0.0,0.0433,0.843,0.000174,0.0919,0.115,138.77,4.0,Bob Dylan,6.352861076796645
False,Murder Most Foul,0.393,0.172,0.0,-19.711,1.0,0.0413,0.827,0.000537,0.0899,0.102,106.842,4.0,Bob Dylan,6.922434017237082
False,I Pity the Poor Immigrant - Take 4,0.633,0.306,2.0,-12.078,1.0,0.0354,0.627,1.2e-06,0.0502,0.926,126.35,4.0,Bob Dylan,5.02790530526121
False,I Am a Lonesome Hobo - Take 4,0.629,0.345,4.0,-11.188,0.0,0.0322,0.583,3.77e-06,0.116,0.618,125.026,4.0,Bob Dylan,5.173054551960312
False,To Be Alone with You - Take 1,0.655,0.636,5.0,-9.703,1.0,0.0492,0.486,2.46e-05,0.131,0.877,132.072,4.0,Bob Dylan,4.987707789452551
False,"Lay, Lady, Lay - Take 2",0.522,0.275,11.0,-14.553,0.0,0.0313,0.805,0.0065,0.119,0.498,150.08,4.0,Bob Dylan,5.321315862005167
False,Tell Me That It Isn't True - Take 2,0.748,0.532,5.0,-12.566,1.0,0.0352,0.739,0.00533,0.11,0.731,127.298,4.0,Bob Dylan,4.847645665601793
False,Country Pie - Take 2,0.702,0.723,9.0,-11.237,1.0,0.0325,0.449,0.0179,0.168,0.846,97.82,4.0,Bob Dylan,4.8443996622879455
False,I Still Miss Someone - Take 5,0.527,0.394,9.0,-14.653,1.0,0.0492,0.713,0.0224,0.0548,0.676,169.294,4.0,Bob Dylan,5.371567828287629
False,Matchbox - Take 1,0.395,0.645,10.0,-12.82,1.0,0.0755,0.584,0.000449,0.148,0.95,176.865,4.0,Bob Dylan,5.221722458377053
False,Girl from the North Country - Rehearsal,0.507,0.0818,7.0,-22.694,1.0,0.0429,0.783,4.39e-05,0.308,0.333,126.064,4.0,Bob Dylan,5.216602845506315
False,Guess Things Happen That Way - Take 3,0.593,0.44,9.0,-14.566,1.0,0.0654,0.157,8e-05,0.111,0.69,84.41,4.0,Bob Dylan,4.661805685354317
False,Wanted Man - Take 1,0.565,0.297,2.0,-16.682,1.0,0.045,0.512,0.0,0.12,0.45,79.506,4.0,Bob Dylan,5.253806284035992
False,Ring of Fire - Outtake,0.446,0.451,9.0,-12.815,1.0,0.0407,0.593,0.0517,0.14,0.76,161.534,4.0,Bob Dylan,4.995047770754542
False,East Virginia Blues (with Earl Scruggs) - Mono,0.505,0.37,2.0,-16.042,1.0,0.0322,0.681,0.000137,0.0816,0.889,95.278,4.0,Bob Dylan,5.040757044648778
False,All Along the Watchtower - Take 3,0.619,0.436,1.0,-11.923,0.0,0.0293,0.511,2.45e-05,0.0622,0.762,130.621,4.0,Bob Dylan,5.01772344701464
False,"Tonight I'll be Staying Here With You - S.I.R. Studio Rehearsals, New York, NY - October 1975",0.636,0.313,10.0,-12.957,1.0,0.0344,0.676,7.1e-06,0.524,0.635,131.199,4.0,Bob Dylan,5.188128546700236
False,"If You See Her, Say Hello - S.I.R. Studio Rehearsals, New York, NY - October 1975",0.551,0.33,0.0,-15.225,1.0,0.0314,0.209,0.0,0.108,0.804,101.881,4.0,Bob Dylan,5.172527360489737
False,"Easy and Slow - Seacrest Motel Rehearsals, Falmouth, MA - October 1975",0.52,0.0864,7.0,-17.501,1.0,0.0409,0.642,1.95e-06,0.91,0.227,134.598,3.0,Bob Dylan,5.778395081365247
False,"It Ain't Me, Babe - Live at Boston Music Hall, Boston, MA - November 21, 1975 - Evening",0.465,0.695,0.0,-11.455,1.0,0.0384,0.395,6.65e-05,0.952,0.793,141.477,4.0,Bob Dylan,5.724107841117447
False,"The Lonesome Death of Hattie Carroll - Live at Montreal Forum, Montreal, Quebec - December 1975",0.391,0.652,0.0,-11.669,1.0,0.0786,0.328,9.27e-06,0.983,0.866,183.165,3.0,Bob Dylan,5.761296380856808
False,"I Dreamed I Saw St. Augustine - Live at Montreal Forum, Montreal, Quebec - December 1975",0.61,0.63,0.0,-11.562,1.0,0.0395,0.336,5.08e-06,0.716,0.622,120.579,4.0,Bob Dylan,5.178931171518109
False,"Isis - Live at Montreal Forum, Montreal, Quebec - December 1975",0.433,0.782,2.0,-10.562,1.0,0.162,0.37,3.38e-05,0.835,0.875,130.646,4.0,Bob Dylan,5.750834621411485
False,"Romance In Durango - Live at Boston Music Hall, Boston, MA - November 21, 1975 - Afternoon",0.434,0.516,0.0,-12.492,1.0,0.0581,0.606,0.0,0.976,0.747,101.416,4.0,Bob Dylan,5.620980407895063
False,"Hurricane - Live at Boston Music Hall, Boston, MA - November 21, 1975 - Evening",0.477,0.742,9.0,-13.244,0.0,0.155,0.264,0.0,0.689,0.766,148.075,4.0,Bob Dylan,6.174841796462402
False,"Tangled Up in Blue - Take 3, Remake 3",0.513,0.329,9.0,-14.701,1.0,0.0327,0.336,2.2e-06,0.221,0.526,83.659,4.0,Bob Dylan,5.970309856185584
False,"If You See Her, Say Hello - Take 1",0.557,0.288,2.0,-11.91,1.0,0.0358,0.728,0.0,0.102,0.185,126.771,4.0,Bob Dylan,5.468397636919637
False,Up to Me - Take 1,0.487,0.411,4.0,-11.884,1.0,0.0554,0.65,0.0,0.169,0.586,101.734,4.0,Bob Dylan,5.897263751709155
False,You're Gonna Make Me Lonesome When You Go - Take 5,0.464,0.343,7.0,-12.324,1.0,0.0378,0.614,0.0127,0.125,0.424,131.051,4.0,Bob Dylan,5.756627897202726
False,"Lily, Rosemary and the Jack of Hearts - Take 2",0.545,0.362,4.0,-11.828,1.0,0.0508,0.716,0.0,0.0937,0.485,110.701,4.0,Bob Dylan,6.380597000595249
False,You're a Big Girl Now - Take 2,0.427,0.219,4.0,-14.286,1.0,0.0411,0.794,2.68e-05,0.111,0.242,146.633,4.0,Bob Dylan,5.63906615993651
False,Shelter from the Storm - Take 1,0.456,0.396,4.0,-13.387,1.0,0.0361,0.343,0.000152,0.129,0.74,108.229,4.0,Bob Dylan,5.8910556408618024
False,Call Letter Blues - Take 1,0.498,0.467,9.0,-11.706,1.0,0.033,0.346,3.97e-06,0.0851,0.839,180.699,4.0,Bob Dylan,5.643561729603898
False,Simple Twist of Fate - Take 3A,0.646,0.261,9.0,-15.689,1.0,0.0373,0.639,5.18e-05,0.0943,0.36,135.002,4.0,Bob Dylan,5.570022484476676
False,Idiot Wind - Take 6,0.446,0.273,4.0,-13.303,1.0,0.0428,0.57,0.0,0.152,0.426,85.43,4.0,Bob Dylan,6.272122004622799
False,"Blowin' In The Wind - Live at Gerde's Folk City, New York, NY - April 1962",0.381,0.292,0.0,-12.324,1.0,0.0364,0.803,4.65e-06,0.696,0.531,169.859,4.0,Bob Dylan,5.080907347081587
False,"Corrina, Corrina - Live at Gerde's Folk City, New York, NY - April 1962",0.544,0.433,6.0,-16.233,1.0,0.0344,0.824,0.00305,0.873,0.784,128.553,1.0,Bob Dylan,5.455889329961579
False,"John Brown - Live at Town Hall, New York, NY - April 1963",0.625,0.164,9.0,-17.2,1.0,0.0663,0.872,0.0,0.701,0.448,113.63,4.0,Bob Dylan,5.744242803783411
False,"Don't Think Twice, It's All Right - Live at Town Hall, New York, NY - April 1963",0.444,0.0562,3.0,-20.948,1.0,0.0494,0.921,8.71e-05,0.696,0.417,93.809,1.0,Bob Dylan,5.372311046456363
